,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas
265,1327979630477922304,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,False,False,572034,109164,2020-11-15,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,"['he', 'only', 'win', 'in', 'the', 'eye', 'of', 'the', 'fake', 'news', 'media', '.', 'i', 'concede', 'nothing', '!', 'we', 'have', 'a', 'long', 'way', 'to', 'go', '.', 'this', 'be', 'a', 'rigged', 'election', '!']"
508,1325442336957018112,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",False,False,516040,101484,2020-11-08,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.","“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.","['""', 'we', 'believe', 'these', 'people', 'be', 'thief', '.', 'the', 'big', 'city', 'machine', 'be', 'corrupt', '.', 'this', 'be', 'a', 'steal', 'election', '.', 'good', 'pollster', 'in', 'britain', 'write', 'this', 'morning', 'that', 'this', 'clearly', 'be', 'a', 'steal', 'election', ',', 'that', 'it', '’', 'impossible', 'to', 'imagine', 'that', 'biden', 'outrun', 'obama', 'in', 'some', 'of', 'these', 'state', '.']"
143,1330368206968643584,"“Dominion-izing the Vote”
Part Two via @OANN @ChanelRion 
https://t.co/HFvrnViseu",False,False,73209,21095,2020-11-22,“Dominion-izing the Vote” Part Two via,“Dominion-izing the Vote” Part Two via,"['""', 'dominion', '-', 'ize', 'the', 'vote', '""', 'part', 'two', 'via']"
144,1330367988621594625,"“Dominion-izing the Vote”
Part One via @OANN @ChanelRion 
https://t.co/7OtrKfoj6q",False,False,136743,41797,2020-11-22,“Dominion-izing the Vote” Part One via,“Dominion-izing the Vote” Part One via,"['""', 'dominion', '-', 'ize', 'the', 'vote', '""', 'part', 'one', 'via']"
146,1330368448552169474,"“Dominion-izing the Vote”
Part Three via @OANN @ChanelRion https://t.co/5En1SjPIol",False,False,70478,20578,2020-11-22,“Dominion-izing the Vote” Part Three via,“Dominion-izing the Vote” Part Three via,"['""', 'dominion', '-', 'ize', 'the', 'vote', '""', 'part', 'three', 'via']"
154,1329298668403499009,"""Dominion-izing the Vote"" https://t.co/ZOFsgDXsuH",False,False,187491,48992,2020-11-19,"""Dominion-izing the Vote""","""Dominion-izing the Vote""","['""', 'dominion', '-', 'ize', 'the', 'vote', '""']"
110,1332552283553476608,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching! https://t.co/zmnk34Ny23",False,False,264054,73949,2020-11-28,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching!","The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching!","['the', '1,126,940', 'vote', 'be', 'create', 'out', 'of', 'thin', 'air', '.', 'i', 'win', 'pennsylvania', 'by', 'a', 'lot', ',', 'perhaps', 'more', 'than', 'anyone', 'will', 'ever', 'know', '.', 'the', 'pennsylvania', 'vote', 'be', 'rigged', '.', 'all', 'other', 'swing', 'state', 'also', '.', 'the', 'world', 'be', 'watch', '!']"
127,1330319750094860290,"....the COURAGE to do what has to be done to maintain the integrity of our Elections,  and the United States of America itself. THE WORLD IS WATCHING!!!",False,False,220447,39237,2020-11-22,"....the COURAGE to do what has to be done to maintain the integrity of our Elections, and the United States of America itself. THE WORLD IS WATCHING!!!","....the COURAGE to do what has to be done to maintain the integrity of our Elections, and the United States of America itself. THE WORLD IS WATCHING!!!","['....', 'the', 'courage', 'to', 'do', 'what', 'have', 'to', 'be', 'do', 'to', 'maintain', 'the', 'integrity', 'of', 'our', 'elections', ',', 'and', 'the', 'united', 'states', 'of', 'america', 'itself', '.', 'the', 'world', 'be', 'watching', '!', '!', '!']"
273,1328152466752491526,"....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those responsible for the safeguarding of our Constitution cannot allow the Fake results of the 2020 Mail-In Election to stand. The World is watching!",False,False,189222,34749,2020-11-16,"....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those responsible for the safeguarding of our Constitution cannot allow the Fake results of the 2020 Mail-In Election to stand. The World is watching!","....owned Dominion Voting Systems, turned down by Texas and many others because it was not good or secure, those responsible for the safeguarding of our Constitution cannot allow the Fake results of the 2020 Mail-In Election to stand. The World is watching!","['....', 'own', 'dominion', 'voting', 'systems', ',', 'turn', 'down', 'by', 'texas', 'and', 'many', 'other', 'because', 'it', 'be', 'not', 'good', 'or', 'secure', ',', 'those', 'responsible', 'for', 'the', 'safeguarding', 'of', 'our', 'constitution', 'can', 'not', 'allow', 'the', 'fake', 'result', 'of', 'the', '2020', 'mail', '-', 'in', 'election', 'to', 'stand', '.', 'the', 'world', 'be', 'watch', '!']"
28,1346578706437963777,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",False,False,328137,82574,2021-01-05,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","['washington', 'be', 'be', 'inundate', 'with', 'people', 'who', 'do', 'not', 'want', 'to', 'see', 'an', 'election', 'victory', 'steal', 'by', 'emboldened', 'radical', 'left', 'democrats', '.', 'our', 'country', 'have', 'have', 'enough', ',', 'they', 'will', 'not', 'take', 'it', 'anymore', '!', 'we', 'hear', 'you', '(', 'and', 'love', 'you', ')', 'from', 'the', 'oval', 'office', '.', 'make', 'america', 'great', 'again', '!']"
