,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas
264,1327979630477922304,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,False,False,572034,109164,2020-11-15,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!,"['he', 'only', 'win', 'in', 'the', 'eye', 'of', 'the', 'fake', 'news', 'media', '.', 'i', 'concede', 'nothing', '!', 'we', 'have', 'a', 'long', 'way', 'to', 'go', '.', 'this', 'be', 'a', 'rigged', 'election', '!']"
507,1325442336957018112,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",False,False,516040,101484,2020-11-08,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.","“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.","['""', 'we', 'believe', 'these', 'people', 'be', 'thief', '.', 'the', 'big', 'city', 'machine', 'be', 'corrupt', '.', 'this', 'be', 'a', 'steal', 'election', '.', 'good', 'pollster', 'in', 'britain', 'write', 'this', 'morning', 'that', 'this', 'clearly', 'be', 'a', 'steal', 'election', ',', 'that', 'it', '’', 'impossible', 'to', 'imagine', 'that', 'biden', 'outrun', 'obama', 'in', 'some', 'of', 'these', 'state', '.']"
142,1330368206968643584,"“Dominion-izing the Vote”
Part Two via @OANN @ChanelRion 
https://t.co/HFvrnViseu",False,False,73209,21095,2020-11-22,“Dominion-izing the Vote” Part Two via,“Dominion-izing the Vote” Part Two via,"['""', 'dominion', '-', 'ize', 'the', 'vote', '""', 'part', 'two', 'via']"
109,1332552283553476608,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching! https://t.co/zmnk34Ny23",False,False,264054,73949,2020-11-28,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching!","The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching!","['the', '1,126,940', 'vote', 'be', 'create', 'out', 'of', 'thin', 'air', '.', 'i', 'win', 'pennsylvania', 'by', 'a', 'lot', ',', 'perhaps', 'more', 'than', 'anyone', 'will', 'ever', 'know', '.', 'the', 'pennsylvania', 'vote', 'be', 'rigged', '.', 'all', 'other', 'swing', 'state', 'also', '.', 'the', 'world', 'be', 'watch', '!']"
28,1346578706437963777,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",False,False,328137,82574,2021-01-05,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","['washington', 'be', 'be', 'inundate', 'with', 'people', 'who', 'do', 'not', 'want', 'to', 'see', 'an', 'election', 'victory', 'steal', 'by', 'emboldened', 'radical', 'left', 'democrats', '.', 'our', 'country', 'have', 'have', 'enough', ',', 'they', 'will', 'not', 'take', 'it', 'anymore', '!', 'we', 'hear', 'you', '(', 'and', 'love', 'you', ')', 'from', 'the', 'oval', 'office', '.', 'make', 'america', 'great', 'again', '!']"
253,1334711509977608192,"The best way to insure a @KLoeffler and @sendavidperdue VICTORY is to allow signature checks in the Presidential race, which will insure a Georgia Presidential win (very few votes are needed, many will be found). Spirits will soar and everyone will rush out and VOTE! @BrianKempGA",False,False,170738,39417,2020-12-04,"The best way to insure a and VICTORY is to allow signature checks in the Presidential race, which will insure a Georgia Presidential win (very few votes are needed, many will be found). Spirits will soar and everyone will rush out and VOTE!","The best way to insure a and VICTORY is to allow signature checks in the Presidential race, which will insure a Georgia Presidential win (very few votes are needed, many will be found). Spirits will soar and everyone will rush out and VOTE!","['the', 'good', 'way', 'to', 'insure', 'a', 'and', 'victory', 'be', 'to', 'allow', 'signature', 'check', 'in', 'the', 'presidential', 'race', ',', 'which', 'will', 'insure', 'a', 'georgia', 'presidential', 'win', '(', 'very', 'few', 'vote', 'be', 'need', ',', 'many', 'will', 'be', 'find', ')', '.', 'spirit', 'will', 'soar', 'and', 'everyone', 'will', 'rush', 'out', 'and', 'vote', '!']"
329,1337040883988959232,How can you give an election to someone who lost the election by hundreds of thousands of legal votes in each of the swing states. How can a country be run by an illegitimate president?,False,False,228392,43954,2020-12-10,How can you give an election to someone who lost the election by hundreds of thousands of legal votes in each of the swing states. How can a country be run by an illegitimate president?,How can you give an election to someone who lost the election by hundreds of thousands of legal votes in each of the swing states. How can a country be run by an illegitimate president?,"['how', 'can', 'you', 'give', 'an', 'election', 'to', 'someone', 'who', 'lose', 'the', 'election', 'by', 'hundred', 'of', 'thousand', 'of', 'legal', 'vote', 'in', 'each', 'of', 'the', 'swing', 'state', '.', 'how', 'can', 'a', 'country', 'be', 'run', 'by', 'an', 'illegitimate', 'president', '?']"
435,1342245390540804096,"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!",False,False,336363,77029,2020-12-24,"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!","I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!","['i', 'save', 'at', 'least', '8', 'republican', 'senators', ',', 'include', 'mitch', ',', 'from', 'lose', 'in', 'the', 'last', 'rigged', '(', 'for', 'president', ')', 'election', '.', 'now', 'they', '(', 'almost', 'all', ')', 'sit', 'back', 'and', 'watch', 'i', 'fight', 'against', 'a', 'crooked', 'and', 'vicious', 'foe', ',', 'the', 'radical', 'left', 'democrats', '.', 'i', 'will', 'never', 'forget', '!']"
1,1325889532840062976,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp &amp; @AdamLaxalt are finding things that, when released, will be absolutely shocking!",False,False,363489,78378,2020-11-09,"Nevada is turning out to be a cesspool of Fake Votes. &; are finding things that, when released, will be absolutely shocking!","Nevada is turning out to be a cesspool of Fake Votes. &; are finding things that, when released, will be absolutely shocking!","['nevada', 'be', 'turn', 'out', 'to', 'be', 'a', 'cesspool', 'of', 'fake', 'votes', '.', '&', ';', 'be', 'find', 'thing', 'that', ',', 'when', 'release', ',', 'will', 'be', 'absolutely', 'shocking', '!']"
7,1346120645613150208,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",False,False,235516,60242,2021-01-04,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!","The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!","['the', '""', 'surrender', 'caucus', '""', 'within', 'the', 'republican', 'party', 'will', 'go', 'down', 'in', 'infamy', 'as', 'weak', 'and', 'ineffective', '""', 'guardians', '""', 'of', 'our', 'nation', ',', 'who', 'be', 'willing', 'to', 'accept', 'the', 'certification', 'of', 'fraudulent', 'presidential', 'number', '!']"
