,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas
6,1.3258849771128832e+18,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,False,False,493076,100609,2020-11-09,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,"['the', 'threshold', 'identification', 'of', 'ballot', 'be', 'turn', 'out', 'to', 'be', 'even', 'big', 'than', 'originally', 'anticipate', '.', 'a', 'very', 'large', 'number', 'of', 'ballot', 'be', 'impact', '.', 'stay', 'tune', '!']"
11,1.325889532840063e+18,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",False,False,363489,78378,2020-11-09,"Nevada is turning out to be a cesspool of Fake Votes. & are finding things that, when released, will be absolutely shocking!","Nevada is turning out to be a cesspool of Fake Votes. & are finding things that, when released, will be absolutely shocking!","['nevada', 'be', 'turn', 'out', 'to', 'be', 'a', 'cesspool', 'of', 'fake', 'votes', '.', '&', 'be', 'find', 'thing', 'that', ',', 'when', 'release', ',', 'will', 'be', 'absolutely', 'shocking', '!']"
14,1.3258953809832755e+18,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,False,False,479292,81458,2020-11-09,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,"['pennsylvania', 'prevent', 'we', 'from', 'watch', 'much', 'of', 'the', 'ballot', 'count', '.', 'unthinkable', 'and', 'illegal', 'in', 'this', 'country', '.']"
16,1.3258963695346074e+18,"Georgia will be a big presidential win, as it was the night of the Election!",False,False,637719,94570,2020-11-09,"Georgia will be a big presidential win, as it was the night of the Election!","Georgia will be a big presidential win, as it was the night of the Election!","['georgia', 'will', 'be', 'a', 'big', 'presidential', 'win', ',', 'as', 'it', 'be', 'the', 'night', 'of', 'the', 'election', '!']"
18,1.3461109560788173e+18,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. @SenTomCotton Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!",False,False,211508,56945,2021-01-04,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!","How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!","['how', 'can', 'you', 'certify', 'an', 'election', 'when', 'the', 'number', 'be', 'certify', 'be', 'verifiably', 'wrong', '.', 'you', 'will', 'see', 'the', 'real', 'number', 'tonight', 'during', 'my', 'speech', ',', 'but', 'especially', 'on', 'january', '6th', '.', 'republicans', 'have', 'plus', '&', 'minus', ',', 'but', 'one', 'thing', 'be', 'sure', ',', 'they', 'never', 'forget', '!']"
20,1.3461124441088369e+18,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” @SenTedCruz  True!",False,False,249177,53966,2021-01-04,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” True!","“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” True!","['""', 'we', '’ve', 'see', 'in', 'the', 'last', 'few', 'month', ',', 'unprecedented', 'amount', 'of', 'voter', 'fraud', '.', '""', 'true', '!']"
22,1.3461206456131502e+18,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",False,False,235516,60242,2021-01-04,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!","The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!","['the', '""', 'surrender', 'caucus', '""', 'within', 'the', 'republican', 'party', 'will', 'go', 'down', 'in', 'infamy', 'as', 'weak', 'and', 'ineffective', '""', 'guardians', '""', 'of', 'our', 'nation', ',', 'who', 'be', 'willing', 'to', 'accept', 'the', 'certification', 'of', 'fraudulent', 'presidential', 'number', '!']"
29,1.3462392278272655e+18,Heading to Georgia now. See you soon!,False,False,313859,38244,2021-01-04,Heading to Georgia now. See you soon!,Heading to Georgia now. See you soon!,"['head', 'to', 'georgia', 'now', '.', 'see', 'you', 'soon', '!']"
30,1.3259561846130196e+18,"This is good news, it means I won! 
cc: @RepDougCollins @SecretarySonny https://t.co/zO4AlPF8O0",False,False,258866,55635,2020-11-10,"This is good news, it means I won! cc:","This is good news, it means I won! cc:","['this', 'be', 'good', 'news', ',', 'it', 'mean', 'i', 'win', '!', 'cc', ':']"
32,1.329054683441279e+18,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ,False,False,246973,54880,2020-11-18,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY!,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY!,"['...', 'and', 'i', 'won', 'the', 'election', '.', 'voter', 'fraud', 'all', 'over', 'the', 'country', '!']"
