,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas,contains_metaphor
1,1325889532840062976,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",False,False,363489,78378,2020-11-09,"Nevada is turning out to be a cesspool of Fake Votes. & are finding things that, when released, will be absolutely shocking!","Nevada is turning out to be a cesspool of Fake Votes. & are finding things that, when released, will be absolutely shocking!","['nevada', 'be', 'turn', 'out', 'to', 'be', 'a', 'cesspool', 'of', 'fake', 'votes', '.', '&', 'be', 'find', 'thing', 'that', ',', 'when', 'release', ',', 'will', 'be', 'absolutely', 'shocking', '!']",True
10,1328328547598000128,Dominion is running our Election. Rigged! https://t.co/xvwrpLpAZa,False,False,163578,40680,2020-11-16,Dominion is running our Election. Rigged!,Dominion is running our Election. Rigged!,"['dominion', 'be', 'run', 'our', 'election', '.', 'rig', '!']",True
13,1325961445062938624,"As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the @US_FDA should have announced it earlier, not for political purposes, but for saving lives!",False,False,292245,59870,2020-11-10,"As I have long said, and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the  FDA should have announced it earlier, not for political purposes, but for saving lives!","As I have long said, and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the  FDA should have announced it earlier, not for political purposes, but for saving lives!","['as', 'i', 'have', 'long', 'say', ',', 'and', 'the', 'other', 'would', 'only', 'announce', 'a', 'vaccine', 'after', 'the', 'election', ',', 'because', 'they', 'do', 'not', 'have', 'the', 'courage', 'to', 'do', 'it', 'before', '.', 'likewise', ',', 'the', ' ', 'fda', 'should', 'have', 'announce', 'it', 'early', ',', 'not', 'for', 'political', 'purpose', ',', 'but', 'for', 'save', 'life', '!']",True
16,1346469204740902912,"Pleased to announce that @KLoeffler & @sendavidperdue have just joined our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!",False,False,177332,42347,2021-01-05,"Pleased to announce that & have just joined our great StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!","Pleased to announce that & have just joined our great StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!","['pleased', 'to', 'announce', 'that', '&', 'have', 'just', 'join', 'our', 'great', 'stopthesteal', 'group', 'of', 'senators', '.', 'they', 'will', 'fight', 'the', 'ridiculous', 'electoral', 'college', 'certification', 'of', 'biden', '.', 'how', 'do', 'you', 'certify', 'number', 'that', 'have', 'now', 'prove', 'to', 'be', 'wrong', 'and', ',', 'in', 'many', 'case', ',', 'fraudulent', '!']",True
17,1325961672343875584,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!",False,False,332731,56327,2020-11-10,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the  FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!","If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the  FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!","['if', 'joe', 'biden', 'be', 'president', ',', 'you', 'would', 'not', 'have', 'the', 'vaccine', 'for', 'another', 'four', 'year', ',', 'nor', 'would', 'the', ' ', 'fda', 'have', 'ever', 'approve', 'it', 'so', 'quickly', '.', 'the', 'bureaucracy', 'would', 'have', 'destroy', 'million', 'of', 'life', '!']",True
27,1346578706437963776,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",False,False,328137,82574,2021-01-05,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!","['washington', 'be', 'be', 'inundate', 'with', 'people', 'who', 'do', 'not', 'want', 'to', 'see', 'an', 'election', 'victory', 'steal', 'by', 'emboldened', 'radical', 'left', 'democrats', '.', 'our', 'country', 'have', 'have', 'enough', ',', 'they', 'will', 'not', 'take', 'it', 'anymore', '!', 'we', 'hear', 'you', '(', 'and', 'love', 'you', ')', 'from', 'the', 'oval', 'office', '.', 'make', 'america', 'great', 'again', '!']",True
28,1329521429575049216,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election https://t.co/d8YFhFzA5w via @BreitbartNews Rigged Election!,False,False,115529,25660,2020-11-19,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election via Rigged Election!,Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election via Rigged Election!,"['nolte', ':', 'top', 'pollster', 'find', '47', '%', 'say', ""'"", 'likely', ""'"", 'democrats', 'steal', 'election', 'via', 'rigged', 'election', '!']",True
30,1346580318745206784,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune",False,False,210988,55852,2021-01-05,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen.","I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen.","['i', 'hope', 'the', 'democrats', ',', 'and', 'even', 'more', 'importantly', ',', 'the', 'weak', 'and', 'ineffective', 'rino', 'section', 'of', 'the', 'republican', 'party', ',', 'be', 'look', 'at', 'the', 'thousand', 'of', 'people', 'pour', 'into', 'd.c.', 'they', 'will', 'not', 'stand', 'for', 'a', 'landslide', 'election', 'victory', 'to', 'be', 'steal', '.']",True
36,1329424134166687488,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough! @BrianKempGA",False,False,217844,47813,2020-11-19,"Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough!","Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signature check on envelopes now. Very easy to do. Dems fighting because they got caught. Far more votes than needed for flip. Republicans must get tough!","['almost', 'zero', 'ballot', 'reject', 'in', 'georgia', 'this', 'election', '.', 'in', 'year', 'past', ',', 'close', 'to', '4', '%', '.', 'not', 'possible', '.', 'must', 'have', 'signature', 'check', 'on', 'envelope', 'now', '.', 'very', 'easy', 'to', 'do', '.', 'dem', 'fight', 'because', 'they', 'get', 'catch', '.', 'far', 'more', 'vote', 'than', 'need', 'for', 'flip', '.', 'republican', 'must', 'get', 'tough', '!']",True
39,1326186126709821440,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!",False,False,420361,74544,2020-11-10,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!","WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!","['watch', 'for', 'massive', 'ballot', 'counting', 'abuse', 'and', ',', 'just', 'like', 'the', 'early', 'vaccine', ',', 'remember', 'i', 'tell', 'you', 'so', '!']",True
