,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
6,1.3258849771128832e+18,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,False,False,493076,100609,2020-11-09,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!
11,1.325889532840063e+18,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",False,False,363489,78378,2020-11-09,"Nevada is turning out to be a cesspool of Fake Votes. & are finding things that, when released, will be absolutely shocking!"
12,1.3258914906363208e+18,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,False,False,347994,61006,2020-11-09,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon!
14,1.3258953809832755e+18,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,False,False,479292,81458,2020-11-09,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.
16,1.3258963695346074e+18,"Georgia will be a big presidential win, as it was the night of the Election!",False,False,637719,94570,2020-11-09,"Georgia will be a big presidential win, as it was the night of the Election!"
18,1.3461109560788173e+18,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. @SenTomCotton Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!",False,False,211508,56945,2021-01-04,"How can you certify an election when the numbers being certified are verifiably WRONG. You will see the real numbers tonight during my speech, but especially on JANUARY 6th. Republicans have pluses & minuses, but one thing is sure, THEY NEVER FORGET!"
20,1.3461124441088369e+18,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” @SenTedCruz  True!",False,False,249177,53966,2021-01-04,"“We’ve seen in the last few months, unprecedented amounts of Voter Fraud.” True!"
21,1.3461151287192453e+18,"“We are not acting to thwart the Democratic process, we are acting to protect it.” @SenRonJohnson",False,False,272308,60779,2021-01-04,"“We are not acting to thwart the Democratic process, we are acting to protect it.”"
22,1.3461206456131502e+18,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!",False,False,235516,60242,2021-01-04,"The “Surrender Caucus” within the Republican Party will go down in infamy as weak and ineffective “guardians” of our Nation, who were willing to accept the certification of fraudulent presidential numbers!"
29,1.3462392278272655e+18,Heading to Georgia now. See you soon!,False,False,313859,38244,2021-01-04,Heading to Georgia now. See you soon!
30,1.3259561846130196e+18,"This is good news, it means I won! 
cc: @RepDougCollins @SecretarySonny https://t.co/zO4AlPF8O0",False,False,258866,55635,2020-11-10,"This is good news, it means I won! cc:"
31,1.3462715796642202e+18,"On my way, see you soon! https://t.co/7QW23k5b9r",False,False,185691,33097,2021-01-05,"On my way, see you soon!"
32,1.329054683441279e+18,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ,False,False,246973,54880,2020-11-18,...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY!
33,1.328328547598e+18,Dominion is running our Election. Rigged! https://t.co/xvwrpLpAZa,False,False,163578,40680,2020-11-16,Dominion is running our Election. Rigged!
34,1.3259611163595162e+18,"...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and campaign finance suppression!",False,False,156817,28082,2020-11-10,"...The worst polling ever, and then they’ll be back in four years to do it again. This is much more then voter and caign finance suppression!"
37,1.3283303031030006e+18,I strongly stand with Kelly & David. They are both great and MUST WIN! https://t.co/eqr95Lc2aC,False,False,122871,21461,2020-11-16,I strongly stand with Kelly & David. They are both great and MUST WIN!
39,1.3259614450629386e+18,"As I have long said, @Pfizer and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the @US_FDA should have announced it earlier, not for political purposes, but for saving lives!",False,False,292245,59870,2020-11-10,"As I have long said, and the others would only announce a Vaccine after the Election, because they didn’t have the courage to do it before. Likewise, the  FDA should have announced it earlier, not for political purposes, but for saving lives!"
40,1.325961115352838e+18,"...ABC/WaPo had me down 17 points in Wisconsin, the day before the election, and I WON! In Iowa, the polls had us 4 points down, and I won by 8.2%! Fox News and Quinnipiac were wrong on everything...",False,False,152654,27735,2020-11-10,"...ABC/WaPo had me down 17 points in Wisconsin, the day before the election, and I WON! In Iowa, the polls had us 4 points down, and I won by 8.2%! Fox News and Quinnipiac were wrong on everything..."
41,1.3259611145140388e+18,".@FoxNews, @QuinnipiacPoll, ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tampering with an Election. They were so far off in their polling, and in their attempt to suppress - that they should be called out for Election Interference...",False,False,254530,53987,2020-11-10,"., , ABC/WaPo, NBC/WSJ were so inaccurate with their polls on me, that it really is tering with an Election. They were so far off in their polling, and in their attempt to suppress - that they should be called out for Election Interference..."
42,1.346469204740903e+18,"Pleased to announce that @KLoeffler & @sendavidperdue have just joined our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!",False,False,177332,42347,2021-01-05,"Pleased to announce that & have just joined our great StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!"
43,1.3259616723438756e+18,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the @US_FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!",False,False,332731,56327,2020-11-10,"If Joe Biden were President, you wouldn’t have the Vaccine for another four years, nor would the  FDA have ever approved it so quickly. The bureaucracy would have destroyed millions of lives!"
44,1.3259622033469727e+18,"The @US_FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later – As I’ve said all along!",False,False,378553,71310,2020-11-10,"The  FDA and the Democrats didn’t want to have me get a Vaccine WIN, prior to the election, so instead it came out five days later – As I’ve said all along!"
45,1.328349382023e+18,Who will be running for Governor of the Great State of Ohio? Will be hotly contested!,False,False,218908,30412,2020-11-16,Who will be running for Governor of the Great State of Ohio? Will be hotly contested!
46,1.328341927641682e+18,"Another Vaccine just announced. This time by Moderna, 95% effective. For those great “historians”, please remember that these great discoveries, which will end the China Plague, all took place on my watch!",False,False,318583,51556,2020-11-16,"Another Vaccine just announced. This time by Moderna, 95% effective. For those great “historians”, please remember that these great discoveries, which will end the China Plague, all took place on my watch!"
47,1.3283382412846162e+18,The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and verified. Break the unconstitutional Consent Decree!,False,False,254635,50961,2020-11-16,The Fake recount going on in Georgia means nothing because they are not allowing signatures to be looked at and verified. Break the unconstitutional Consent Decree!
48,1.3464721116032164e+18,"Georgia, get out and VOTE for two great Senators, @KLoeffler and @sendavidperdue. So important to do so!",False,False,215340,41746,2021-01-05,"Georgia, get out and VOTE for two great Senators, and . So important to do so!"
49,1.3464784821050696e+18,See you in D.C. https://t.co/ti4bChnPKz,False,False,127896,25649,2021-01-05,See you in D.C.
50,1.3290979467769403e+18,"FLOYD COUNTY, GEORGIA! 
https://t.co/mIZ5rmdkvw",False,False,182698,52653,2020-11-18,"FLOYD COUNTY, GEORGIA!"
52,1.3464883141577974e+18,The Vice President has the power to reject fraudulently chosen electors.,False,False,429984,90069,2021-01-05,The Vice President has the power to reject fraudulently chosen electors.
